term,category_label
hyperthermia,Environmental Health
hypothermia,Environmental Health
extreme heat,Environmental Health
heatwave,Environmental Health
high temperature,Environmental Health
flood,Environmental Health
drought,Environmental Health
wildfire,Environmental Health
bushfire,Environmental Health
bushfires,Environmental Health
algal bloom,Environmental Health
temperature,Environmental Health
storms,Environmental Health
extreme weather,Environmental Health
carbon,Environmental Health
co2,Environmental Health
methane,Environmental Health
pm2.5,Environmental Health
ghg,Environmental Health
greenhouse,Environmental Health
climate change,Climate & Environment
changing climate,Climate & Environment
climate emergency,Climate & Environment
climate action,Climate & Environment
climate crisis,Climate & Environment
climate decay,Climate & Environment
global warming,Climate & Environment
green house,Climate & Environment
greenhouse gas,Climate & Environment
greenhouse-gas,Climate & Environment
greenhouse effect,Climate & Environment
greenhouse effects,Climate & Environment
climate variability,Climate & Environment
global environmental change,Climate & Environment
low carbon,Climate & Environment
renewable energy,Climate & Environment
carbon emission,Climate & Environment
carbon emissions,Climate & Environment
carbon dioxide,Climate & Environment
carbon-dioxide,Climate & Environment
co2 emission,Climate & Environment
co2 emissions,Climate & Environment
climate pollutant,Climate & Environment
climate pollutants,Climate & Environment
decarbonization,Climate & Environment
decarbonisation,Climate & Environment
carbon neutral,Climate & Environment
carbon-neutral,Climate & Environment
carbon neutrality,Climate & Environment
climate neutrality,Climate & Environment
net-zero,Climate & Environment
net zero,Climate & Environment
ghge,Climate & Environment
ghges,Climate & Environment
precipitation,Climate & Environment
rainfall,Climate & Environment
humidity,Climate & Environment
monsoon,Climate & Environment
el nino,Climate & Environment
enso,Climate & Environment
sea surface temperature,Climate & Environment
sea surface temperatures,Climate & Environment
sst,Climate & Environment
snowmelt,Climate & Environment
storm,Climate & Environment
cyclone,Climate & Environment
cyclones,Climate & Environment
hurricane,Climate & Environment
hurricanes,Climate & Environment
typhoon,Climate & Environment
typhoons,Climate & Environment
sea-level,Climate & Environment
sea level,Climate & Environment
wild-fire,Climate & Environment
forest-fire,Climate & Environment
forest fire,Climate & Environment
forest fires,Climate & Environment
extreme heat event,Climate & Environment
extreme heat events,Climate & Environment
heat-wave,Climate & Environment
heat index,Climate & Environment
heat indices,Climate & Environment
cold index,Climate & Environment
cold indices,Climate & Environment
extreme-cold,Climate & Environment
extreme cold,Climate & Environment
hydroclim,Climate & Environment
disaster risk,Climate & Environment
disaster management,Climate & Environment
natural disaster,Climate & Environment
natural disaster risk,Climate & Environment
hydrochloroflourocarbon,Climate & Environment
hydrochloroflourocarbons,Climate & Environment
hfc,Climate & Environment
hfcs,Climate & Environment
so4,Climate & Environment
n20,Climate & Environment
halogen,Climate & Environment
chlorocarbon,Climate & Environment
chlorocarbons,Climate & Environment
pm25,Climate & Environment
nh3,Climate & Environment
sox,Climate & Environment
o3,Climate & Environment
ccl4,Climate & Environment
nmvoc,Climate & Environment
so2,Climate & Environment
co,Climate & Environment
nitrous,Climate & Environment
ch4,Climate & Environment
sulphur,Climate & Environment
voc,Climate & Environment
ozone,Climate & Environment
emitter,Climate & Environment
emitting,Climate & Environment
mitigate,Climate & Environment
mitigation,Climate & Environment
vector-borne disease,Vector-borne & Zoonotic Diseases
vector-borne diseases,Vector-borne & Zoonotic Diseases
zoonoses,Vector-borne & Zoonotic Diseases
zoonotic disease,Vector-borne & Zoonotic Diseases
dengue,Vector-borne & Zoonotic Diseases
chikungunya,Vector-borne & Zoonotic Diseases
zika,Vector-borne & Zoonotic Diseases
yellow fever,Vector-borne & Zoonotic Diseases
west nile fever,Vector-borne & Zoonotic Diseases
japanese encephalitis,Vector-borne & Zoonotic Diseases
tick-borne encephalitis,Vector-borne & Zoonotic Diseases
lyme disease,Vector-borne & Zoonotic Diseases
borreliosis,Vector-borne & Zoonotic Diseases
